,AM1,AM2,AM3,AM4,AM5,AM6,CD1,CD2,CD3,CD4,CD5,CD6,BU1,BU2,BU3,BU4,BU5,BU6,Rur,sex,Pub,pro_an,pro_cd,pro_bu,Mat
1316,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,1,F,1,4,NA,1.5,311.4172
1317,3,NA,3,3,3,3,3,NA,3,3,NA,3,2,2,1,1,1,1,0,F,1,3,3,1.333333333,366.1223
1318,NA,2,2,3,4,2,3,NA,3,4,1,NA,1,1,1,1,1,1,0,M,1,2.6,2.75,1,344.0573
1319,4,4,NA,4,3,4,3,2,NA,NA,4,4,3,4,1,1,1,4,1,F,1,3.8,3.25,2.333333333,362.4312
1320,4,2,2,2,NA,2,4,4,4,NA,4,4,1,1,1,1,1,1,0,F,1,2.4,4,1,306.2159
1321,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,F,1,4,3,NA,228.9055
1322,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0,M,1,3,4,4,281.52
1323,2,NA,3,3,3,2,2,1,3,3,NA,1,1,NA,1,1,1,1,1,F,1,2.6,2,1,320.9404
1324,4,3,NA,4,3,3,NA,1,NA,4,1,2,1,2,1,2,1,4,0,M,1,3.4,2,1.833333333,324.1347
1325,4,4,2,2,NA,4,4,NA,4,3,NA,4,NA,NA,NA,NA,NA,NA,0,F,0,3.2,3.75,NA,469.5316
1326,3,3,3,NA,4,3,3,NA,3,3,2,NA,1,4,1,1,1,4,1,F,1,3.2,2.75,2,395.0854
1327,NA,4,4,4,4,4,NA,3,4,4,NA,4,2,1,1,1,1,2,0,F,1,4,3.75,1.333333333,292.881
1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,F,1,NA,NA,NA,389.1291
1329,3,3,2,NA,4,3,3,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,1,M,1,3,3,NA,384.0488
1330,3,NA,3,3,3,3,2,2,2,NA,2,NA,2,1,1,1,1,2,1,F,1,3,2,1.333333333,301.7051
1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,3,1,M,1,NA,NA,2.666666667,329.8065
1332,3,3,3,3,3,NA,3,NA,3,4,NA,3,1,1,1,1,1,2,0,M,1,3,3.25,1.166666667,387.1407
1333,NA,1,1,1,1,1,4,1,2,NA,2,4,1,1,1,1,1,1,0,F,1,1,2.6,1,335.9309
1334,4,4,3,3,4,NA,NA,3,NA,2,1,1,1,1,1,1,1,1,0,F,1,3.6,1.75,1,342.5666
